"","AIC_mar1_sim1","AIC_mar2_sim1","AIC_mar1_sim2","AIC_mar2_sim2","AICc_mar1_sim1","AICc_mar2_sim1","AICc_mar1_sim2","AICc_mar2_sim2","BIC_mar1_sim1","BIC_mar2_sim1","BIC_mar1_sim2","BIC_mar2_sim2"
"1","144.81","139.68","136.28","116.63","146.18","141.55","137.66","118.50","154.0","150.37","145.44","127.32"
"2","132.18","130.45","161.21","136.08","133.55","132.32","162.58","137.95","141.3","141.13","170.36","146.77"
"3","149.36","144.23","147.94","125.07","150.74","146.10","149.32","126.94","158.5","154.92","157.10","135.76"
"4","140.34","141.19","122.78","113.33","141.72","143.06","124.16","115.20","149.5","151.88","131.94","124.01"
"5","144.66","145.29","117.79","105.37","146.03","147.15","119.17","107.24","153.8","155.97","126.95","116.06"
"6","122.20","109.70","153.84","133.17","123.58","111.56","155.21","135.04","131.4","120.38","162.99","143.85"
"7","141.79","138.46","109.14"," 91.32","143.17","140.33","110.52"," 93.19","151.0","149.15","118.30","102.01"
"8","127.61","122.83","136.59","117.73","128.99","124.70","137.96","119.60","136.8","133.52","145.74","128.42"
"9","126.42","122.95","123.70","116.79","127.80","124.82","125.08","118.66","135.6","133.64","132.86","127.48"
"10","148.69","149.96","146.09","114.68","150.06","151.83","147.46","116.55","157.8","160.64","155.24","125.37"
"11","122.17","125.02","127.35","107.91","123.55","126.89","128.72","109.77","131.3","135.70","136.51","118.59"
"12","127.10","124.70","139.63","126.18","128.48","126.56","141.00","128.05","136.3","135.38","148.78","136.86"
"13","123.00","132.26","126.47","108.92","124.38","134.13","127.85","110.79","132.2","142.95","135.63","119.61"
"14","130.94","131.74","140.22","134.51","132.32","133.61","141.60","136.37","140.1","142.42","149.38","145.19"
"15","132.08","122.62","143.65","123.80","133.45","124.49","145.03","125.67","141.2","133.30","152.81","134.49"
"16","132.22","137.98","135.57","121.08","133.60","139.84","136.94","122.94","141.4","148.66","144.72","131.76"
"17","136.95","128.04","109.10"," 99.40","138.33","129.90","110.48","101.27","146.1","138.72","118.26","110.09"
"18","132.30","137.72","168.10","124.78","133.68","139.58","169.48","126.65","141.5","148.40","177.26","135.47"
"19","154.51","152.22","157.42","142.98","155.89","154.09","158.80","144.85","163.7","162.90","166.58","153.66"
"20","127.93","123.11","120.41","101.06","129.30","124.98","121.78","102.92","137.1","133.80","129.56","111.74"
"21","138.42","142.66","146.21","129.90","139.80","144.53","147.58","131.77","147.6","153.35","155.36","140.58"
"22","144.45","132.58","134.84","129.68","145.83","134.45","136.22","131.55","153.6","143.27","144.00","140.37"
"23","137.95","127.33","142.90","121.39","139.33","129.20","144.27","123.25","147.1","138.02","152.05","132.07"
"24","147.36","146.01","130.54","119.86","148.74","147.88","131.92","121.73","156.5","156.69","139.70","130.54"
"25","139.06","141.42","129.89","118.52","140.44","143.29","131.27","120.39","148.2","152.10","139.05","129.21"
"26","145.83","141.31","136.70","124.91","147.21","143.18","138.07","126.77","155.0","152.00","145.86","135.59"
"27","143.03","142.00","142.81","121.99","144.40","143.87","144.19","123.85","152.2","152.68","151.97","132.67"
"28","142.31","152.75","134.70","110.47","143.69","154.61","136.08","112.34","151.5","163.43","143.86","121.16"
"29","119.48","118.62","130.02","111.05","120.86","120.48","131.40","112.92","128.6","129.30","139.18","121.74"
"30","128.31","131.27","130.48","119.78","129.68","133.14","131.86","121.65","137.5","141.96","139.64","130.47"
"31","140.54","135.79","152.09","143.79","141.91","137.66","153.46","145.65","149.7","146.48","161.24","154.47"
"32","136.65","138.07","131.38","127.32","138.03","139.94","132.76","129.19","145.8","148.75","140.54","138.00"
"33","131.36","124.73","130.17","114.65","132.74","126.60","131.55","116.52","140.5","135.42","139.33","125.34"
"34","140.91","145.26","164.57","153.66","142.29","147.12","165.95","155.53","150.1","155.94","173.73","164.35"
"35","140.56","144.69","153.31","132.74","141.93","146.55","154.69","134.61","149.7","155.37","162.47","143.42"
"36","131.60","124.77","127.65","117.97","132.98","126.64","129.02","119.84","140.8","135.45","136.80","128.65"
