"","value","SE","lower","upper"
"b11",0.754759850672998,0.10612946527891,0.54674992102784,0.962769780318156
"b21",0.195764744903022,0.105066225093891,-0.0101612722725822,0.401690762078627
"b12",-0.200288084598835,0.112033011034327,-0.419868751305695,0.0192925821080252
"b22",0.715695970263302,0.105633653657075,0.508657813540057,0.922734126986547
"tempMay_year",-0.0636574715987299,0.116296619349537,-0.291594657047587,0.164279713850127
"0",-0.0514476963128979,0.0651655866748303,-0.179169899226989,0.0762745066011927
"rainMay_year",-0.142873834381988,0.109823870617896,-0.35812466543585,0.0723769966718747
"tempApril_year_minus4",0.221328902892515,0.107774838122381,0.0100941017330135,0.432563704052016
"rainApril_year_minus4",-0.0291580371634966,0.11215883218543,-0.24898530879501,0.190669234468017
"(X.Y1,X.Y1)",0.355464227899849,0.0736985187227625,0.204088693313179,0.548569311936657
"(X.Y2,X.Y2)",0.34282638545222,0.0738026297223732,0.194360434143562,0.533139868874377
