"","value","SE","lower","upper"
"b11"," 0.74104","0.10577"," 0.5337436"," 0.94834"
"b21"," 0.20024","0.10467","-0.0048983"," 0.40538"
"b12","-0.30128","0.11215","-0.5210878","-0.08146"
"b22"," 0.70345","0.10438"," 0.4988706"," 0.90802"
"tempJuly_year"," 0.23480","0.12232","-0.0049450"," 0.47455"
"rainJuly_year"," 0.21855","0.12826","-0.0328315"," 0.46993"
"tempApril_year_minus4"," 0.20754","0.10638","-0.0009627"," 0.41604"
"rainApril_year_minus4","-0.05559","0.10704","-0.2653819"," 0.15420"
"(X.Y1,X.Y1)"," 0.34930","0.07257"," 0.2014041"," 0.53766"
"(X.Y2,X.Y2)"," 0.34332","0.07372"," 0.1948744"," 0.53353"
