"","value","SE","lower","upper"
"b11",0.768695076623501,0.112073268882955,0.549035505983236,0.988354647263766
"b21",0.20054378570385,0.104613249921023,-0.00449441644704154,0.405581987854742
"b12",-0.232414670312873,0.11307054445197,-0.454028865151069,-0.0108004754746772
"b22",0.703414087091353,0.104202431004866,0.499181075220296,0.907647098962409
"tempJune_year",0.0661383285252923,0.119378473519535,-0.167839180102364,0.300115837152949
"rainJune_year",0.0598939704705842,0.123303036164008,-0.181775539595311,0.30156348053648
"tempApril_year_minus4",0.207605596787997,0.106231803477871,-0.000604912041367145,0.415816105617362
"rainApril_year_minus4",-0.0558749314739241,0.106887817410376,-0.265371203984355,0.153621341036507
"(X.Y1,X.Y1)",0.389161184683297,0.0766025997765539,0.224381753694788,0.599023655956391
"(X.Y2,X.Y2)",0.342224926859001,0.0734581635388107,0.194502682439687,0.531404976919233
