"","value","SE","lower","upper"
"b11"," 0.68379","0.11693"," 0.454606","0.91297"
"b21"," 0.20354","0.10455","-0.001380","0.40845"
"b12","-0.19992","0.10779","-0.411193","0.01135"
"b22"," 0.70188","0.10445"," 0.497171","0.90659"
"avMonthly_tempWinter","-0.14661","0.12104","-0.383854","0.09063"
"log_winter_rain","-0.17207","0.11855","-0.404422","0.06029"
"tempApril_year_minus4"," 0.20717","0.10623","-0.001026","0.41538"
"rainApril_year_minus4","-0.05575","0.10689","-0.265254","0.15376"
"(X.Y1,X.Y1)"," 0.36355","0.07425"," 0.209232","0.56022"
"(X.Y2,X.Y2)"," 0.34225","0.07346"," 0.194509","0.53145"
