"","value","SE","lower","upper"
"b11_1",1.0190352680628,0.160177984633689,0.705092187064561,1.33297834906104
"b21_1",-0.0500848897382632,0.160876692558384,-0.365397413104618,0.265227633628092
"b12_1",0.0166634314010524,0.148562659186868,-0.274514030052708,0.307840892854813
"b22_1",0.615674439792272,0.161388450782014,0.29935888873881,0.931989990845734
"b11_2",-0.385226908698454,0.162373724081833,-0.70347355993449,-0.0669802574624184
"b21_2",0.319092898576741,0.163111136192998,-0.000599053838942543,0.638784850992425
"b12_2",-0.155555154033619,0.147423891863751,-0.444500672547299,0.13339036448006
"b22_2",-0.1130815462092,0.15444328482801,-0.415784822126161,0.189621729707761
"q11",0.323284238652086,0.071072158756778,0.184283059121067,0.501093769366951
"q22",0.32542057883387,0.071307355746671,0.185499575232983,0.504407213273577
