#Mánaðarmeðaltöl fyrir stöð 502 - Raufarhöfn
stöð	 ár	mán	  t	  tx	  txx	txxD1	  tn	 tnn	tnnD1	 rh	 r	 rx	rxD1	 p	 n	sun	 f
502	2010	11	NA	NA	NA	NA	NA	NA	NA	NA	 61.1	 12.8	18	NA	NA	NA	NA
502	2010	12	NA	NA	NA	NA	NA	NA	NA	NA	 33.0	 17.4	11	NA	NA	NA	NA
502	2011	1	NA	NA	NA	NA	NA	NA	NA	NA	 35.8	 17.2	12	NA	NA	NA	NA
502	2011	2	NA	NA	NA	NA	NA	NA	NA	NA	 56.6	 12.4	24	NA	NA	NA	NA
502	2011	3	NA	NA	NA	NA	NA	NA	NA	NA	 24.0	  6.7	2	NA	NA	NA	NA
502	2011	4	NA	NA	NA	NA	NA	NA	NA	NA	 14.1	  3.6	23	NA	NA	NA	NA
502	2011	5	NA	NA	NA	NA	NA	NA	NA	NA	 61.4	 27.4	8	NA	NA	NA	NA
502	2011	6	NA	NA	NA	NA	NA	NA	NA	NA	 40.6	  7.3	28	NA	NA	NA	NA
502	2011	7	NA	NA	NA	NA	NA	NA	NA	NA	  5.1	  2.1	25	NA	NA	NA	NA
502	2011	8	NA	NA	NA	NA	NA	NA	NA	NA	 32.1	  8.4	15	NA	NA	NA	NA
502	2011	9	NA	NA	NA	NA	NA	NA	NA	NA	 54.0	  8.7	8	NA	NA	NA	NA
502	2011	10	NA	NA	NA	NA	NA	NA	NA	NA	128.2	 19.7	5	NA	NA	NA	NA
502	2011	11	NA	NA	NA	NA	NA	NA	NA	NA	 32.2	  5.3	3	NA	NA	NA	NA
502	2011	12	NA	NA	NA	NA	NA	NA	NA	NA	 40.6	 13.3	2	NA	NA	NA	NA
502	2012	1	NA	NA	NA	NA	NA	NA	NA	NA	 55.9	  5.9	19	NA	NA	NA	NA
502	2012	2	NA	NA	NA	NA	NA	NA	NA	NA	 42.5	  9.3	2	NA	NA	NA	NA
502	2012	3	NA	NA	NA	NA	NA	NA	NA	NA	 52.0	 12.8	30	NA	NA	NA	NA
502	2012	4	NA	NA	NA	NA	NA	NA	NA	NA	 19.9	  7.8	29	NA	NA	NA	NA
502	2012	5	NA	NA	NA	NA	NA	NA	NA	NA	 11.4	  2.6	11	NA	NA	NA	NA
502	2012	6	NA	NA	NA	NA	NA	NA	NA	NA	  7.1	  2.8	7	NA	NA	NA	NA
502	2012	7	NA	NA	NA	NA	NA	NA	NA	NA	 31.4	 22.8	24	NA	NA	NA	NA
502	2012	8	NA	NA	NA	NA	NA	NA	NA	NA	 12.4	  4.2	23	NA	NA	NA	NA
502	2012	9	NA	NA	NA	NA	NA	NA	NA	NA	 78.2	 21.1	10	NA	NA	NA	NA
502	2012	10	NA	NA	NA	NA	NA	NA	NA	NA	 34.3	  7.3	28	NA	NA	NA	NA
502	2012	11	NA	NA	NA	NA	NA	NA	NA	NA	 61.0	 14.1	23	NA	NA	NA	NA
502	2012	12	NA	NA	NA	NA	NA	NA	NA	NA	 46.6	  9.8	18	NA	NA	NA	NA
502	2013	1	NA	NA	NA	NA	NA	NA	NA	NA	 29.7	  7.7	31	NA	NA	NA	NA
502	2013	2	NA	NA	NA	NA	NA	NA	NA	NA	 20.0	  3.2	18	NA	NA	NA	NA
502	2013	3	NA	NA	NA	NA	NA	NA	NA	NA	 19.0	  6.6	20	NA	NA	NA	NA
502	2013	4	NA	NA	NA	NA	NA	NA	NA	NA	 16.5	  3.6	4	NA	NA	NA	NA
502	2013	5	NA	NA	NA	NA	NA	NA	NA	NA	 26.6	  8.3	28	NA	NA	NA	NA
502	2013	6	NA	NA	NA	NA	NA	NA	NA	NA	 13.9	  5.0	20	NA	NA	NA	NA
502	2013	7	NA	NA	NA	NA	NA	NA	NA	NA	 46.6	  9.9	12	NA	NA	NA	NA
502	2013	12	NA	NA	NA	NA	NA	NA	NA	NA	 37.7	  7.6	24	NA	NA	NA	NA
502	2014	1	NA	NA	NA	NA	NA	NA	NA	NA	 43.9	  7.6	6	NA	NA	NA	NA
502	2014	2	NA	NA	NA	NA	NA	NA	NA	NA	 30.0	  4.7	27	NA	NA	NA	NA
502	2014	3	NA	NA	NA	NA	NA	NA	NA	NA	 64.2	  6.5	10	NA	NA	NA	NA
502	2014	4	NA	NA	NA	NA	NA	NA	NA	NA	 16.8	  9.2	7	NA	NA	NA	NA
502	2014	5	NA	NA	NA	NA	NA	NA	NA	NA	 17.6	  9.9	19	NA	NA	NA	NA
